date	steps
01-Jun-17	10902
02-Jun-17	9409
03-Jun-17	5336
04-Jun-17	5925
05-Jun-17	11652
06-Jun-17	6555
07-Jun-17	6429
08-Jun-17	4877
09-Jun-17	5475
10-Jun-17	5123
11-Jun-17	7565
12-Jun-17	7662
13-Jun-17	6636
14-Jun-17	8526
15-Jun-17	10201
16-Jun-17	11487
17-Jun-17	7123
18-Jun-17	13840
19-Jun-17	8095
20-Jun-17	7078
21-Jun-17	10226
22-Jun-17	7673
23-Jun-17	10882
24-Jun-17	5035
25-Jun-17	6057
26-Jun-17	4950
27-Jun-17	13459
28-Jun-17	11514
29-Jun-17	12627
30-Jun-17	9203
