date	steps
01-Jul-17	8102
02-Jul-17	5038
03-Jul-17	5427
04-Jul-17	13394
05-Jul-17	17359
06-Jul-17	12626
07-Jul-17	14638
08-Jul-17	18592
09-Jul-17	13145
10-Jul-17	8195
11-Jul-17	9305
12-Jul-17	11936
13-Jul-17	12929
14-Jul-17	11252
15-Jul-17	13230
16-Jul-17	5551
17-Jul-17	14083
18-Jul-17	10963
19-Jul-17	11239
20-Jul-17	11818
21-Jul-17	13596
22-Jul-17	14317
23-Jul-17 6880
24-Jul-17 11270
25-Jul-17 10437
26-Jul-17 8190
27-Jul-17 9797
28-Jul-17 5908
29-Jul-17 6486
30-Jul-17 7293
31-Jul-17 8652
